triples,k,mode,memory_usage
2,2,wasm,262144
3,2,wasm,262144
4,2,wasm,262144
5,2,wasm,262144
6,2,wasm,262144
7,2,wasm,262144
8,2,wasm,262144
9,2,wasm,262144
10,2,wasm,262144
11,2,wasm,262144
12,2,wasm,262144
13,2,wasm,262144
14,2,wasm,262144
15,2,wasm,262144
16,2,wasm,262144
17,2,wasm,262144
18,2,wasm,262144
19,2,wasm,262144
20,2,wasm,262144
21,2,wasm,262144
22,2,wasm,262144
23,2,wasm,262144
24,2,wasm,262144
25,2,wasm,262144
26,2,wasm,262144
27,2,wasm,262144
28,2,wasm,262144
29,2,wasm,262144
30,2,wasm,262144
31,2,wasm,262144
32,2,wasm,262144
33,2,wasm,262144
34,2,wasm,262144
35,2,wasm,262144
36,2,wasm,262144
37,2,wasm,262144
38,2,wasm,262144
39,2,wasm,262144
40,2,wasm,327680
41,2,wasm,327680
42,2,wasm,327680
43,2,wasm,327680
44,2,wasm,327680
45,2,wasm,327680
46,2,wasm,327680
47,2,wasm,327680
48,2,wasm,327680
49,2,wasm,393216
50,2,wasm,393216
2,3,wasm,262144
3,3,wasm,262144
4,3,wasm,262144
5,3,wasm,262144
6,3,wasm,262144
7,3,wasm,262144
8,3,wasm,262144
9,3,wasm,262144
10,3,wasm,262144
11,3,wasm,262144
12,3,wasm,327680
13,3,wasm,327680
14,3,wasm,393216
15,3,wasm,458752
16,3,wasm,458752
17,3,wasm,524288
18,3,wasm,655360
19,3,wasm,720896
20,3,wasm,786432
21,3,wasm,917504
22,3,wasm,1048576
23,3,wasm,1179648
24,3,wasm,1310720
25,3,wasm,1441792
26,3,wasm,1572864
27,3,wasm,1769472
28,3,wasm,1966080
29,3,wasm,2162688
30,3,wasm,2359296
31,3,wasm,2621440
32,3,wasm,2818048
33,3,wasm,3080192
34,3,wasm,3407872
35,3,wasm,3670016
36,3,wasm,3997696
37,3,wasm,4325376
38,3,wasm,4653056
39,3,wasm,5046272
40,3,wasm,5439488
41,3,wasm,5832704
42,3,wasm,6291456
43,3,wasm,6750208
44,3,wasm,7208960
45,3,wasm,7733248
46,3,wasm,8192000
47,3,wasm,8716288
48,3,wasm,9306112
49,3,wasm,9895936
50,3,wasm,10485760
2,4,wasm,262144
3,4,wasm,262144
4,4,wasm,262144
5,4,wasm,262144
6,4,wasm,262144
7,4,wasm,262144
8,4,wasm,262144
9,4,wasm,262144
10,4,wasm,393216
11,4,wasm,458752
12,4,wasm,589824
13,4,wasm,720896
14,4,wasm,917504
15,4,wasm,1179648
16,4,wasm,1441792
17,4,wasm,1900544
18,4,wasm,2293760
19,4,wasm,2818048
20,4,wasm,3407872
21,4,wasm,4194304
22,4,wasm,4980736
23,4,wasm,5898240
24,4,wasm,6946816
25,4,wasm,8126464
26,4,wasm,9699328
27,4,wasm,11206656
28,4,wasm,12845056
29,4,wasm,14811136
30,4,wasm,16842752
31,4,wasm,19136512
32,4,wasm,22151168
33,4,wasm,24969216
34,4,wasm,28180480
2,5,wasm,262144
3,5,wasm,262144
4,5,wasm,262144
5,5,wasm,262144
6,5,wasm,262144
7,5,wasm,262144
8,5,wasm,262144
9,5,wasm,393216
10,5,wasm,524288
11,5,wasm,720896
12,5,wasm,983040
13,5,wasm,1507328
14,5,wasm,2031616
15,5,wasm,2883584
16,5,wasm,3932160
17,5,wasm,5177344
18,5,wasm,7077888
19,5,wasm,9175040
20,5,wasm,12189696
21,5,wasm,15400960
22,5,wasm,19267584
23,5,wasm,23855104
24,5,wasm,30605312
2,6,wasm,262144
3,6,wasm,262144
4,6,wasm,262144
5,6,wasm,262144
6,6,wasm,262144
7,6,wasm,262144
8,6,wasm,262144
9,6,wasm,393216
10,6,wasm,589824
11,6,wasm,983040
12,6,wasm,1572864
13,6,wasm,2359296
14,6,wasm,3735552
15,6,wasm,5701632
16,6,wasm,8257536
17,6,wasm,12255232
18,6,wasm,17104896
19,6,wasm,24510464
20,6,wasm,33161216
2,7,wasm,262144
3,7,wasm,262144
4,7,wasm,262144
5,7,wasm,262144
6,7,wasm,262144
7,7,wasm,262144
8,7,wasm,262144
9,7,wasm,393216
10,7,wasm,655360
11,7,wasm,1114112
12,7,wasm,1966080
13,7,wasm,3342336
14,7,wasm,5701632
15,7,wasm,9043968
16,7,wasm,14680064
17,7,wasm,23199744
18,7,wasm,34406400
2,8,wasm,262144
3,8,wasm,262144
4,8,wasm,262144
5,8,wasm,262144
6,8,wasm,262144
7,8,wasm,262144
8,8,wasm,262144
9,8,wasm,458752
10,8,wasm,720896
11,8,wasm,1245184
12,8,wasm,2228224
13,8,wasm,4063232
14,8,wasm,7274496
15,8,wasm,12779520
16,8,wasm,22216704
17,8,wasm,35717120
2,9,wasm,262144
3,9,wasm,262144
4,9,wasm,262144
5,9,wasm,262144
6,9,wasm,262144
7,9,wasm,262144
8,9,wasm,262144
9,9,wasm,458752
10,9,wasm,720896
11,9,wasm,1245184
12,9,wasm,2293760
13,9,wasm,4390912
14,9,wasm,8257536
15,9,wasm,15400960
16,9,wasm,27983872
2,10,wasm,262144
3,10,wasm,262144
4,10,wasm,262144
5,10,wasm,262144
6,10,wasm,262144
7,10,wasm,262144
8,10,wasm,262144
9,10,wasm,458752
10,10,wasm,720896
11,10,wasm,1245184
12,10,wasm,2359296
13,10,wasm,4521984
14,10,wasm,8781824
15,10,wasm,16973824
16,10,wasm,32178176