triples,k,mode,optimization_time
2,2,js,0.022449999999999994
3,2,js,0.04478333333333333
4,2,js,0.05993333333333332
5,2,js,0.08555000000000001
6,2,js,0.11906666666666671
7,2,js,0.15818333333333331
8,2,js,0.20435000000000014
9,2,js,0.2678333333333332
10,2,js,0.32585000000000003
11,2,js,0.3961
12,2,js,0.4828166666666665
13,2,js,0.5813999999999998
14,2,js,0.6879333333333333
15,2,js,0.8055500000000003
16,2,js,0.9466666666666671
17,2,js,1.1096833333333334
18,2,js,1.2471666666666665
19,2,js,1.4368833333333328
20,2,js,1.612816666666667
21,2,js,1.9216000000000002
22,2,js,2.1471999999999998
23,2,js,2.3850000000000002
24,2,js,2.6272
25,2,js,2.907
26,2,js,3.2206
27,2,js,3.6026000000000002
28,2,js,3.9727999999999994
29,2,js,4.4026
30,2,js,4.662599999999999
31,2,js,5.1122
32,2,js,5.535
33,2,js,6.3214
34,2,js,6.566399999999999
35,2,js,6.977200000000001
36,2,js,7.7796
37,2,js,8.3702
38,2,js,9.3222
39,2,js,9.8756
40,2,js,10.542200000000001
41,2,js,10.6336
42,2,js,10.9556
43,2,js,11.7982
44,2,js,12.539400000000002
45,2,js,13.4164
46,2,js,15.497800000000002
47,2,js,16.337400000000002
48,2,js,17.4778
49,2,js,18.7862
50,2,js,19.7044
2,3,js,0.021166666666666677
3,3,js,0.06675000000000003
4,3,js,0.08425000000000002
5,3,js,0.14688333333333334
6,3,js,0.25898333333333323
7,3,js,0.4245166666666667
8,3,js,0.6495500000000001
9,3,js,0.9689666666666664
10,3,js,1.361566666666667
11,3,js,1.8580333333333339
12,3,js,2.5073000000000003
13,3,js,3.2965333333333344
14,3,js,4.4789666666666665
15,3,js,5.780199999999999
16,3,js,7.626383333333334
17,3,js,8.019716666666667
18,3,js,12.157816666666667
19,3,js,14.18955
20,3,js,17.29146666666667
21,3,js,19.930200000000003
22,3,js,23.840600000000002
23,3,js,27.5884
24,3,js,31.620800000000003
25,3,js,36.52040000000001
26,3,js,43.0834
27,3,js,48.8562
28,3,js,56.922399999999996
29,3,js,62.565200000000004
30,3,js,69.23440000000001
31,3,js,79.0112
32,3,js,86.8394
33,3,js,95.17119999999998
34,3,js,106.19200000000001
35,3,js,118.85920000000002
36,3,js,128.7132
37,3,js,141.4118
38,3,js,153.31980000000001
39,3,js,169.286
40,3,js,182.6116
41,3,js,202.65159999999997
42,3,js,217.3512
43,3,js,241.53000000000003
44,3,js,256.798
45,3,js,276.92719999999997
46,3,js,300.3264
47,3,js,321.50640000000004
48,3,js,339.5898
49,3,js,369.8496
50,3,js,400.4814
2,4,js,0.022
3,4,js,0.044
4,4,js,0.1196
5,4,js,0.29860000000000003
6,4,js,0.7249999999999999
7,4,js,1.6022000000000003
8,4,js,3.2461999999999995
9,4,js,7.0176
10,4,js,11.8262
11,4,js,17.3634
12,4,js,27.7606
13,4,js,43.0682
14,4,js,60.607000000000006
15,4,js,79.1418
16,4,js,104.81860000000002
17,4,js,145.97840000000002
18,4,js,180.434
19,4,js,237.1116
20,4,js,299.9782
21,4,js,377.82359999999994
22,4,js,466.8656
23,4,js,566.7909999999999
24,4,js,670.8209999999999
25,4,js,798.1039999999999
26,4,js,948.8122
27,4,js,1201.1856
28,4,js,1407.1194
29,4,js,1609.7207999999998
30,4,js,1947.1204000000002
31,4,js,2249.1974
32,4,js,2549.9936000000002
33,4,js,2994.3688
34,4,js,3380.4324
35,4,js,3803.321
36,4,js,4420.530000000001
37,4,js,4844.0862
38,4,js,5398.611200000001
2,5,js,0.022199999999999998
3,5,js,0.04379999999999999
4,5,js,0.1182
5,5,js,0.3922
6,5,js,1.1924
7,5,js,3.3326000000000002
8,5,js,7.5844
9,5,js,21.3992
10,5,js,38.834199999999996
11,5,js,71.07919999999999
12,5,js,118.51320000000001
13,5,js,193.1658
14,5,js,298.68899999999996
15,5,js,436.0062
16,5,js,648.5952
17,5,js,920.6323999999998
18,5,js,1369.6739999999998
19,5,js,1898.1366000000003
20,5,js,2427.6022000000003
21,5,js,3340.7987999999996
22,5,js,4329.3412
23,5,js,5483.9408
2,6,js,0.022
3,6,js,0.044399999999999995
4,6,js,0.1444
5,6,js,0.46420000000000006
6,6,js,1.5824000000000003
7,6,js,6.2702
8,6,js,21.2086
9,6,js,50.800200000000004
10,6,js,117.30199999999999
11,6,js,251.23960000000002
12,6,js,463.8982
13,6,js,842.2046000000003
14,6,js,1524.0634
15,6,js,2665.6758
16,6,js,4204.5738
17,6,js,6348.712400000001
2,7,js,0.0256
3,7,js,0.045
4,7,js,0.11699999999999999
5,7,js,0.377
6,7,js,1.472
7,7,js,7.708200000000001
8,7,js,27.188399999999994
9,7,js,86.983
10,7,js,236.73899999999998
11,7,js,557.0028
12,7,js,1232.9309999999998
13,7,js,2924.0624000000003
14,7,js,5392.3589999999995
2,8,js,0.0232
3,8,js,0.044599999999999994
4,8,js,0.13
5,8,js,0.39499999999999996
6,8,js,1.5012
7,8,js,8.0662
8,8,js,29.483999999999998
9,8,js,108.7598
10,8,js,346.3864
11,8,js,956.3734000000001
12,8,js,2693.1976000000004
13,8,js,6055.289400000001
2,9,js,0.023799999999999998
3,9,js,0.043199999999999995
4,9,js,0.1286
5,9,js,0.39380000000000004
6,9,js,1.5164
7,9,js,7.917400000000001
8,9,js,29.886000000000003
9,9,js,117.547
10,9,js,395.9772
11,9,js,1234.6245999999999
12,9,js,4041.6252
13,9,js,10223.539200000001
2,10,js,0.022199999999999998
3,10,js,0.044399999999999995
4,10,js,0.11400000000000002
5,10,js,0.39239999999999997
6,10,js,1.5016000000000003
7,10,js,7.9524
8,10,js,28.6652
9,10,js,115.44399999999999
10,10,js,404.159
11,10,js,1361.2902
12,10,js,4828.8748000000005
13,10,js,13892.428999999998
2,2,wasm,0.02495000000000001
3,2,wasm,0.03478333333333332
4,2,wasm,0.046116666666666715
5,2,wasm,0.06014999999999997
6,2,wasm,0.07645
7,2,wasm,0.09123333333333335
8,2,wasm,0.11583333333333336
9,2,wasm,0.14028333333333334
10,2,wasm,0.1611333333333332
11,2,wasm,0.18945000000000004
12,2,wasm,0.22123333333333348
13,2,wasm,0.25485
14,2,wasm,0.2898166666666665
15,2,wasm,0.32743333333333324
16,2,wasm,0.36476666666666685
17,2,wasm,0.40965000000000024
18,2,wasm,0.45786666666666653
19,2,wasm,0.5102166666666667
20,2,wasm,0.5624833333333334
21,2,wasm,0.6367999999999999
22,2,wasm,0.6937999999999999
23,2,wasm,0.7632000000000001
24,2,wasm,0.8186
25,2,wasm,0.8986000000000001
26,2,wasm,0.9677999999999999
27,2,wasm,1.0512000000000001
28,2,wasm,1.1022
29,2,wasm,1.19
30,2,wasm,1.27
31,2,wasm,1.3754
32,2,wasm,1.4637999999999998
33,2,wasm,1.5708
34,2,wasm,1.6854
35,2,wasm,1.7874000000000003
36,2,wasm,1.9092000000000002
37,2,wasm,2.017
38,2,wasm,2.1434
39,2,wasm,2.2684
40,2,wasm,2.4002000000000003
41,2,wasm,2.5279999999999996
42,2,wasm,2.637
43,2,wasm,2.7842
44,2,wasm,2.9552
45,2,wasm,3.1119999999999997
46,2,wasm,3.2321999999999997
47,2,wasm,3.4326
48,2,wasm,3.6494
49,2,wasm,3.7714
50,2,wasm,3.9308
2,3,wasm,0.02253333333333332
3,3,wasm,0.0377666666666667
4,3,wasm,0.054266666666666734
5,3,wasm,0.08751666666666676
6,3,wasm,0.1281666666666666
7,3,wasm,0.19676666666666662
8,3,wasm,0.2780166666666667
9,3,wasm,0.3962166666666667
10,3,wasm,0.5298166666666668
11,3,wasm,0.7145166666666667
12,3,wasm,0.9228166666666666
13,3,wasm,1.1880166666666667
14,3,wasm,1.4799499999999999
15,3,wasm,1.8381333333333332
16,3,wasm,2.2319833333333334
17,3,wasm,2.7142833333333334
18,3,wasm,3.2249833333333338
19,3,wasm,3.845816666666667
20,3,wasm,4.483583333333333
21,3,wasm,5.3092
22,3,wasm,6.1214
23,3,wasm,7.0586
24,3,wasm,8.0546
25,3,wasm,9.2004
26,3,wasm,10.395199999999999
27,3,wasm,11.7212
28,3,wasm,13.140800000000002
29,3,wasm,14.7106
30,3,wasm,16.4146
31,3,wasm,18.270000000000003
32,3,wasm,20.190400000000004
33,3,wasm,22.5212
34,3,wasm,25.039
35,3,wasm,27.6726
36,3,wasm,30.225
37,3,wasm,33.2332
38,3,wasm,36.57899999999999
39,3,wasm,39.8168
40,3,wasm,43.362
41,3,wasm,47.0136
42,3,wasm,51.056
43,3,wasm,56.05319999999999
44,3,wasm,60.354600000000005
45,3,wasm,65.28280000000001
46,3,wasm,70.6014
47,3,wasm,75.8906
48,3,wasm,82.38
49,3,wasm,87.9058
50,3,wasm,94.61459999999998
2,4,wasm,0.025
3,4,wasm,0.0402
4,4,wasm,0.06820000000000001
5,4,wasm,0.1278
6,4,wasm,0.2684
7,4,wasm,0.5268
8,4,wasm,0.9568
9,4,wasm,1.6293999999999997
10,4,wasm,2.6726
11,4,wasm,4.0998
12,4,wasm,6.087999999999999
13,4,wasm,8.74
14,4,wasm,12.243399999999998
15,4,wasm,16.464199999999998
16,4,wasm,21.974
17,4,wasm,28.8242
18,4,wasm,36.6754
19,4,wasm,46.391000000000005
20,4,wasm,57.926
21,4,wasm,71.7002
22,4,wasm,87.9432
23,4,wasm,106.3654
24,4,wasm,128.1918
25,4,wasm,152.2842
26,4,wasm,180.80040000000002
27,4,wasm,212.69520000000003
28,4,wasm,248.6886
29,4,wasm,290.078
30,4,wasm,335.679
31,4,wasm,387.3412
32,4,wasm,444.10720000000003
33,4,wasm,513.5465999999999
34,4,wasm,597.1142
35,4,wasm,678.6096
36,4,wasm,778.6082
37,4,wasm,882.085
38,4,wasm,988.8752000000001
39,4,wasm,1116.7684000000002
40,4,wasm,1260.9436
41,4,wasm,1436.2124
42,4,wasm,1622.998
43,4,wasm,1825.2033999999999
44,4,wasm,2050.3743999999997
45,4,wasm,2298.6339999999996
46,4,wasm,2580.5953999999997
47,4,wasm,2890.0014
48,4,wasm,3270.4054
49,4,wasm,3676.2738
50,4,wasm,4080.6812000000004
2,5,wasm,0.029000000000000005
3,5,wasm,0.045799999999999993
4,5,wasm,0.1044
5,5,wasm,0.18059999999999998
6,5,wasm,0.39320000000000005
7,5,wasm,0.9234000000000002
8,5,wasm,2.005
9,5,wasm,4.0214
10,5,wasm,7.482600000000001
11,5,wasm,13.008
12,5,wasm,21.736600000000003
13,5,wasm,34.8258
14,5,wasm,53.07779999999999
15,5,wasm,77.9826
16,5,wasm,112.93199999999999
17,5,wasm,158.2214
18,5,wasm,218.6248
19,5,wasm,295.8784
20,5,wasm,391.08000000000004
21,5,wasm,511.94960000000003
22,5,wasm,674.8802000000001
23,5,wasm,859.1474000000001
24,5,wasm,1078.5030000000002
25,5,wasm,1341.7892000000002
26,5,wasm,1684.757
27,5,wasm,2053.0552
28,5,wasm,2532.5884
29,5,wasm,3077.4287999999997
30,5,wasm,3701.1312
31,5,wasm,4444.2276
32,5,wasm,5309.443799999999
2,6,wasm,0.027800000000000002
3,6,wasm,0.04279999999999999
4,6,wasm,0.0814
5,6,wasm,0.1636
6,6,wasm,0.4488
7,6,wasm,1.246
8,6,wasm,3.3531999999999997
9,6,wasm,8.0004
10,6,wasm,17.785400000000003
11,6,wasm,35.928
12,6,wasm,67.5882
13,6,wasm,121.543
14,6,wasm,206.5688
15,6,wasm,333.9826
16,6,wasm,522.5738
17,6,wasm,802.4858
18,6,wasm,1193.2696
19,6,wasm,1737.4542000000001
20,6,wasm,2491.5048
21,6,wasm,3446.3736
22,6,wasm,4736.205800000001
23,6,wasm,6415.4588
2,7,wasm,0.0274
3,7,wasm,0.0546
4,7,wasm,0.07339999999999999
5,7,wasm,0.176
6,7,wasm,0.45459999999999995
7,7,wasm,1.424
8,7,wasm,4.215999999999999
9,7,wasm,12.0798
10,7,wasm,31.1526
11,7,wasm,72.9866
12,7,wasm,156.9456
13,7,wasm,314.29179999999997
14,7,wasm,596.4312
15,7,wasm,1075.9994000000002
16,7,wasm,1835.6420000000003
17,7,wasm,3082.4334000000003
18,7,wasm,4907.128
19,7,wasm,7673.486800000001
2,8,wasm,0.028000000000000004
3,8,wasm,0.044199999999999996
4,8,wasm,0.0744
5,8,wasm,0.1526
6,8,wasm,0.47379999999999994
7,8,wasm,1.4049999999999998
8,8,wasm,4.5552
9,8,wasm,14.283800000000003
10,8,wasm,43.727999999999994
11,8,wasm,114.7748
12,8,wasm,278.75460000000004
13,8,wasm,629.9914
14,8,wasm,1339.9134000000001
15,8,wasm,2667.9003999999995
16,8,wasm,5046.7684
2,9,wasm,0.0274
3,9,wasm,0.04259999999999999
4,9,wasm,0.067
5,9,wasm,0.1652
6,9,wasm,0.4506
7,9,wasm,1.3906
8,9,wasm,4.5528
9,9,wasm,15.000200000000001
10,9,wasm,47.225199999999994
11,9,wasm,143.9796
12,9,wasm,399.74719999999996
13,9,wasm,1011.143
14,9,wasm,2396.1602
15,9,wasm,5357.6374000000005
2,10,wasm,0.0264
3,10,wasm,0.041999999999999996
4,10,wasm,0.06860000000000001
5,10,wasm,0.1612
6,10,wasm,0.4468
7,10,wasm,1.4102000000000001
8,10,wasm,4.566199999999999
9,10,wasm,14.860000000000003
10,10,wasm,48.22259999999999
11,10,wasm,157.71480000000003
12,10,wasm,472.2428
13,10,wasm,1325.3938000000003
14,10,wasm,3456.1826
15,10,wasm,8553.997
